"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed May 18 11:39:35 CST 2022","Wed May 18 11:39:35 CST 2022","0","testcase","test_login","Testfour","","","test_skip",""
"failed","Wed May 18 11:39:35 CST 2022","Wed May 18 11:39:35 CST 2022","0","testcase","test_login","TestLogin","","","失败测试",""
"passed","Wed May 18 11:39:20 CST 2022","Wed May 18 11:39:35 CST 2022","14491","testcase","test_login","TestLogin","","","增删改查测试项目","
        用例描述：测试项目的增删改查
        "
"failed","Wed May 18 11:39:35 CST 2022","Wed May 18 11:39:35 CST 2022","0","testcase","test_login","Testfour","","","test_failure",""
"broken","Wed May 18 11:39:35 CST 2022","Wed May 18 11:39:35 CST 2022","0","testcase","test_login","Testfour","","","test_broken",""
"passed","Wed May 18 11:39:35 CST 2022","Wed May 18 11:39:35 CST 2022","0","testcase","test_login","Testfour","","","test_success",""
"passed","Wed May 18 11:39:06 CST 2022","Wed May 18 11:39:20 CST 2022","14705","testcase","test_login","TestLogin","","","增删改查测试项目","
        用例描述：测试项目的增删改查
        "
"passed","Wed May 18 11:39:01 CST 2022","Wed May 18 11:39:02 CST 2022","1644","testcase","test_login","TestLogin","","","登录成功用例","这是一个登录测试用例"
