"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","测试报告显示","跳过模块","0","0","0","1","0"
"","登录以及增删改查测试项目","测试失败效果","1","0","0","0","0"
"","登录以及增删改查测试项目","测试项目","0","0","2","0","0"
"","测试报告显示","失败模块","1","0","0","0","0"
"","测试报告显示","中断模块","0","1","0","0","0"
"","测试报告显示","成功模块","0","0","1","0","0"
"","登录以及增删改查测试项目","登录模块","0","0","1","0","0"
